,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
36019,61.0,unknown,single,basic.4y,no,yes,yes,cellular,may,tue,131.0,3,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
31512,48.0,blue-collar,married,basic.6y,unknown,no,no,telephone,may,wed,22.0,6,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
9028,34.0,blue-collar,divorced,professional.course,no,no,no,telephone,jun,thu,884.0,4,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,yes
33008,37.0,housemaid,divorced,basic.9y,unknown,yes,no,telephone,may,mon,226.0,2,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.2990000000000002,5099.1,no
11155,37.0,technician,married,professional.course,no,no,no,telephone,jun,thu,96.0,1,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
39963,37.0,unemployed,married,university.degree,unknown,no,no,telephone,jun,mon,198.0,1,999.0,0.0,nonexistent,-1.7,94.055,-39.8,0.754,4991.6,yes
8180,34.0,blue-collar,married,basic.9y,no,no,no,telephone,jun,tue,963.0,2,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,yes
37470,30.0,services,single,high.school,no,yes,no,cellular,aug,thu,,2,999.0,0.0,nonexistent,-2.9,92.201,-31.4,0.873,5076.2,yes
29140,39.0,blue-collar,married,basic.9y,no,yes,no,cellular,apr,fri,216.0,1,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
9239,40.0,blue-collar,married,professional.course,unknown,no,no,telephone,jun,fri,554.0,2,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,yes
16697,38.0,entrepreneur,married,university.degree,no,yes,no,telephone,jul,wed,83.0,4,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
5784,25.0,blue-collar,married,high.school,unknown,yes,yes,telephone,may,mon,741.0,6,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
1558,31.0,blue-collar,single,professional.course,no,no,no,telephone,may,thu,99.0,3,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
22133,55.0,services,married,basic.9y,no,no,no,cellular,aug,thu,211.0,3,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
32271,40.0,services,married,basic.4y,unknown,no,no,cellular,may,fri,308.0,1,999.0,1.0,failure,-1.8,92.893,-46.2,1.3130000000000002,5099.1,no
26590,30.0,blue-collar,married,basic.9y,unknown,no,no,cellular,nov,thu,677.0,1,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,yes
36867,55.0,management,married,university.degree,no,yes,no,cellular,jun,tue,114.0,3,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,yes
28579,29.0,technician,single,university.degree,no,yes,no,cellular,apr,wed,389.0,2,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,yes
27148,52.0,admin.,divorced,university.degree,no,yes,no,cellular,nov,fri,65.0,1,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
20629,32.0,admin.,single,university.degree,no,no,no,cellular,aug,wed,823.0,1,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
15850,39.0,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,mon,222.0,1,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
36689,31.0,technician,married,university.degree,no,yes,no,cellular,jun,fri,276.0,2,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,yes
21173,36.0,admin.,married,high.school,no,no,no,cellular,aug,mon,91.0,2,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
28572,49.0,management,married,university.degree,no,no,no,cellular,apr,wed,1214.0,1,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,yes
39601,72.0,retired,married,basic.4y,no,yes,no,cellular,may,wed,443.0,4,999.0,0.0,nonexistent,-1.8,93.876,-40.0,0.672,5008.7,yes
25687,33.0,entrepreneur,married,basic.9y,unknown,no,no,cellular,nov,wed,636.0,1,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
18350,40.0,unknown,married,unknown,no,yes,yes,cellular,jul,thu,67.0,6,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
7881,39.0,services,single,high.school,unknown,yes,yes,telephone,jun,mon,563.0,1,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,yes
28620,39.0,technician,single,professional.course,no,yes,no,cellular,apr,wed,80.0,3,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,no
4397,34.0,services,married,high.school,unknown,no,no,telephone,may,tue,1313.0,2,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
24009,48.0,admin.,married,high.school,no,no,no,telephone,oct,mon,312.0,1,999.0,0.0,nonexistent,-0.1,93.798,-40.4,5.0,5195.8,yes
13820,31.0,technician,married,professional.course,no,no,no,cellular,jul,thu,3643.0,1,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
10828,26.0,blue-collar,single,unknown,no,yes,yes,telephone,jun,wed,203.0,1,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
39581,24.0,student,single,high.school,no,yes,no,cellular,may,tue,153.0,2,6.0,2.0,success,-1.8,93.876,-40.0,0.6679999999999999,5008.7,yes
40514,33.0,student,married,professional.course,no,yes,no,cellular,aug,mon,265.0,3,3.0,4.0,success,-1.7,94.027,-38.3,0.8959999999999999,4991.6,yes
40220,72.0,retired,married,basic.6y,no,yes,no,cellular,jul,wed,143.0,1,999.0,0.0,nonexistent,-1.7,94.215,-40.3,0.8809999999999999,4991.6,yes
38349,38.0,technician,married,university.degree,no,no,no,cellular,oct,fri,156.0,1,999.0,0.0,nonexistent,-3.4,92.431,-26.9,0.7390000000000001,5017.5,yes
37756,79.0,housemaid,married,basic.4y,no,no,no,cellular,aug,fri,126.0,1,3.0,2.0,success,-2.9,92.201,-31.4,0.8490000000000001,5076.2,yes
33640,38.0,blue-collar,single,basic.9y,no,yes,no,telephone,may,wed,65.0,5,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
26962,33.0,admin.,single,university.degree,no,yes,no,cellular,nov,thu,182.0,2,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
5384,60.0,retired,married,high.school,unknown,yes,no,telephone,may,fri,597.0,6,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
17235,36.0,services,married,high.school,no,no,no,cellular,jul,fri,468.0,4,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
18154,25.0,services,single,basic.9y,no,yes,no,cellular,jul,wed,509.0,1,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
37563,20.0,student,single,high.school,no,no,no,cellular,aug,fri,190.0,2,999.0,1.0,failure,-2.9,92.201,-31.4,0.8690000000000001,5076.2,no
5829,34.0,admin.,married,university.degree,no,no,no,telephone,may,mon,79.0,5,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
33124,33.0,blue-collar,single,basic.6y,no,yes,no,cellular,may,tue,731.0,3,999.0,1.0,failure,-1.8,92.893,-46.2,1.291,5099.1,yes
859,35.0,blue-collar,single,unknown,no,yes,no,telephone,may,wed,125.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
2765,43.0,unknown,married,high.school,unknown,no,no,telephone,may,wed,96.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
35794,56.0,technician,single,professional.course,no,yes,no,cellular,may,mon,80.0,3,999.0,1.0,failure,-1.8,92.893,-46.2,1.244,5099.1,no
38562,48.0,technician,married,high.school,no,no,no,cellular,oct,thu,264.0,1,999.0,0.0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,yes
30297,46.0,admin.,married,basic.6y,no,no,no,cellular,apr,thu,278.0,1,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
32029,42.0,admin.,married,high.school,no,unknown,unknown,cellular,may,thu,878.0,3,999.0,1.0,failure,-1.8,92.893,-46.2,1.327,5099.1,yes
27904,20.0,student,single,basic.9y,no,yes,no,cellular,mar,thu,325.0,1,999.0,0.0,nonexistent,-1.8,92.843,-50.0,1.538,5099.1,yes
942,42.0,services,divorced,high.school,unknown,no,no,telephone,may,wed,117.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
7988,37.0,entrepreneur,married,basic.9y,no,yes,no,telephone,jun,mon,541.0,1,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
17488,47.0,self-employed,married,university.degree,no,no,yes,cellular,jul,mon,83.0,4,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
24586,42.0,admin.,divorced,high.school,no,yes,no,telephone,nov,mon,124.0,1,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
39795,76.0,housemaid,married,basic.4y,no,no,no,cellular,jun,tue,296.0,5,999.0,0.0,nonexistent,-1.7,94.055,-39.8,0.7020000000000001,4991.6,yes
40769,41.0,management,divorced,university.degree,no,no,no,cellular,sep,fri,164.0,5,3.0,3.0,success,-1.1,94.199,-37.5,0.879,4963.6,yes
10388,31.0,blue-collar,divorced,high.school,no,no,yes,telephone,jun,mon,27.0,3,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
18080,34.0,technician,married,professional.course,no,yes,no,cellular,jul,wed,58.0,1,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
27675,41.0,blue-collar,single,basic.9y,unknown,no,no,cellular,nov,fri,643.0,3,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
19686,56.0,technician,married,professional.course,no,yes,no,cellular,aug,thu,124.0,3,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
2566,44.0,blue-collar,married,unknown,no,no,yes,telephone,may,tue,431.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
38958,60.0,admin.,married,unknown,unknown,yes,no,cellular,dec,wed,357.0,1,999.0,0.0,nonexistent,-3.0,92.713,-33.0,0.721,5023.5,yes
14937,28.0,blue-collar,single,basic.9y,unknown,no,yes,cellular,jul,wed,278.0,2,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
30976,26.0,student,single,high.school,unknown,no,no,cellular,may,tue,176.0,2,999.0,1.0,failure,-1.8,92.893,-46.2,1.344,5099.1,no
5432,32.0,admin.,married,university.degree,no,yes,no,telephone,may,fri,82.0,3,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
36891,25.0,student,single,university.degree,no,no,yes,telephone,jun,thu,280.0,6,999.0,1.0,failure,-2.9,92.963,-40.8,1.235,5076.2,yes
12673,34.0,technician,single,professional.course,unknown,yes,no,cellular,jul,mon,224.0,4,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
38802,26.0,admin.,married,high.school,no,yes,no,cellular,nov,fri,338.0,1,7.0,1.0,success,-3.4,92.649,-30.1,0.7140000000000001,5017.5,yes
3693,37.0,admin.,single,high.school,no,yes,no,telephone,may,fri,912.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,yes
30203,54.0,housemaid,married,high.school,no,no,no,cellular,apr,thu,381.0,1,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
1399,35.0,blue-collar,married,basic.6y,no,no,no,telephone,may,thu,245.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
14529,43.0,services,single,high.school,no,no,no,cellular,jul,tue,1317.0,4,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
31663,35.0,blue-collar,married,basic.9y,unknown,no,no,cellular,may,thu,234.0,1,999.0,1.0,failure,-1.8,92.893,-46.2,1.327,5099.1,no
40480,52.0,management,married,university.degree,no,yes,no,cellular,aug,thu,175.0,3,1.0,3.0,success,-1.7,94.027,-38.3,0.899,4991.6,yes
11463,56.0,retired,divorced,basic.4y,unknown,no,no,telephone,jun,fri,75.0,4,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
31053,52.0,management,divorced,university.degree,no,no,no,cellular,may,wed,451.0,1,999.0,1.0,failure,-1.8,92.893,-46.2,1.334,5099.1,yes
26353,29.0,admin.,married,high.school,no,no,no,cellular,nov,thu,523.0,2,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
35221,44.0,blue-collar,married,basic.6y,no,no,no,cellular,may,fri,611.0,2,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
23347,57.0,blue-collar,married,basic.4y,unknown,no,no,cellular,aug,wed,97.0,4,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
6829,50.0,admin.,married,high.school,no,no,no,telephone,may,wed,264.0,2,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1233,32.0,blue-collar,married,professional.course,no,no,no,telephone,may,thu,1119.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
12285,46.0,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,thu,746.0,4,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,no
41030,28.0,admin.,single,university.degree,no,no,no,cellular,oct,mon,225.0,1,3.0,3.0,success,-1.1,94.601,-49.5,1.032,4963.6,yes
35654,41.0,unemployed,married,professional.course,no,no,no,cellular,may,mon,276.0,4,10.0,1.0,success,-1.8,92.893,-46.2,1.244,5099.1,no
19952,38.0,admin.,married,university.degree,no,yes,no,cellular,aug,fri,172.0,7,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20803,39.0,admin.,divorced,university.degree,no,no,no,cellular,aug,wed,99.0,3,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
30464,39.0,admin.,married,high.school,no,yes,no,cellular,may,mon,301.0,3,3.0,1.0,success,-1.8,92.893,-46.2,1.354,5099.1,yes
27765,34.0,technician,single,professional.course,no,yes,no,cellular,mar,fri,266.0,1,999.0,0.0,nonexistent,-1.8,92.843,-50.0,1.726,5099.1,yes
2141,51.0,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,470.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
4904,30.0,admin.,single,high.school,no,no,no,telephone,may,wed,860.0,2,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,yes
36451,46.0,unemployed,married,basic.9y,no,yes,no,cellular,jun,tue,236.0,2,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
605,32.0,admin.,single,university.degree,no,no,no,telephone,may,tue,389.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
33035,27.0,blue-collar,married,basic.4y,unknown,no,no,cellular,may,mon,877.0,7,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.2990000000000002,5099.1,yes
5166,36.0,technician,single,university.degree,unknown,no,no,telephone,may,fri,128.0,4,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40587,32.0,services,single,university.degree,no,no,no,cellular,sep,thu,128.0,3,999.0,2.0,failure,-1.1,94.199,-37.5,0.884,4963.6,no
4485,39.0,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,650.0,3,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes
40670,29.0,admin.,single,high.school,no,yes,no,cellular,sep,thu,216.0,1,6.0,2.0,success,-1.1,94.199,-37.5,0.879,4963.6,yes
35493,31.0,admin.,married,university.degree,no,no,no,cellular,may,mon,213.0,1,999.0,1.0,failure,-1.8,92.893,-46.2,1.244,5099.1,no
5096,37.0,self-employed,married,professional.course,no,no,yes,telephone,may,fri,254.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
33318,37.0,admin.,divorced,university.degree,no,yes,no,cellular,may,tue,918.0,1,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
39130,39.0,admin.,single,university.degree,no,yes,no,telephone,mar,mon,229.0,1,999.0,1.0,failure,-1.8,93.369,-34.8,0.655,5008.7,yes
40585,39.0,management,married,university.degree,no,yes,no,cellular,sep,thu,291.0,3,999.0,0.0,nonexistent,-1.1,94.199,-37.5,0.884,4963.6,yes
1196,50.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,thu,135.0,2,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
40202,29.0,admin.,married,university.degree,no,yes,no,cellular,jul,mon,173.0,3,999.0,0.0,nonexistent,-1.7,94.215,-40.3,0.87,4991.6,yes
2447,33.0,self-employed,divorced,basic.9y,no,yes,no,telephone,may,tue,355.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
286,39.0,housemaid,married,basic.9y,no,yes,no,telephone,may,mon,935.0,3,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
30200,41.0,admin.,single,university.degree,no,unknown,unknown,cellular,apr,thu,1277.0,1,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
2178,57.0,retired,single,high.school,no,no,no,telephone,may,mon,166.0,2,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
24139,44.0,management,married,university.degree,no,yes,no,cellular,nov,mon,130.0,1,999.0,1.0,failure,-0.1,93.2,-42.0,4.191,5195.8,no
7934,55.0,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,101.0,2,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
36613,31.0,admin.,married,university.degree,no,no,no,cellular,jun,thu,81.0,2,999.0,1.0,failure,-2.9,92.963,-40.8,1.26,5076.2,yes
35826,32.0,services,married,high.school,unknown,no,no,cellular,may,mon,642.0,3,10.0,1.0,success,-1.8,92.893,-46.2,1.244,5099.1,yes
37274,38.0,technician,married,professional.course,no,no,no,cellular,aug,mon,923.0,1,999.0,1.0,failure,-2.9,92.201,-31.4,0.884,5076.2,yes
6214,45.0,blue-collar,divorced,basic.4y,no,no,no,telephone,may,tue,78.0,2,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37407,60.0,retired,married,university.degree,no,no,no,cellular,aug,wed,576.0,1,999.0,0.0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,yes
8821,46.0,blue-collar,married,professional.course,no,no,no,telephone,jun,thu,1446.0,1,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,yes
25776,35.0,self-employed,married,university.degree,no,yes,no,cellular,nov,wed,405.0,1,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
35275,54.0,retired,divorced,university.degree,no,yes,no,cellular,may,fri,193.0,2,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
35874,57.0,admin.,married,university.degree,no,yes,no,cellular,may,fri,554.0,2,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,yes
14177,30.0,blue-collar,married,high.school,unknown,yes,no,cellular,jul,mon,1153.0,3,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
38946,73.0,retired,married,university.degree,no,no,no,cellular,nov,fri,160.0,1,999.0,0.0,nonexistent,-3.4,92.649,-30.1,0.718,5017.5,yes
33418,33.0,blue-collar,married,basic.9y,no,yes,yes,cellular,may,tue,31.0,4,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
38503,63.0,technician,married,professional.course,no,yes,no,cellular,oct,tue,298.0,1,999.0,0.0,nonexistent,-3.4,92.431,-26.9,0.728,5017.5,yes
39475,85.0,housemaid,married,basic.4y,unknown,no,no,cellular,apr,tue,175.0,6,6.0,1.0,success,-1.8,93.749,-34.6,0.642,5008.7,yes
37863,30.0,student,married,university.degree,no,no,no,cellular,aug,mon,98.0,2,3.0,2.0,success,-2.9,92.201,-31.4,0.821,5076.2,yes
21195,50.0,services,married,basic.9y,unknown,yes,no,cellular,aug,mon,113.0,2,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
38869,30.0,blue-collar,single,high.school,no,no,no,cellular,nov,mon,94.0,1,999.0,2.0,failure,-3.4,92.649,-30.1,0.7140000000000001,5017.5,no
40126,35.0,technician,single,professional.course,no,yes,no,cellular,jul,tue,337.0,1,6.0,1.0,success,-1.7,94.215,-40.3,0.835,4991.6,yes
34744,37.0,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,thu,604.0,4,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
37805,58.0,retired,married,high.school,no,yes,no,cellular,aug,tue,242.0,6,3.0,1.0,success,-2.9,92.201,-31.4,0.838,5076.2,yes
8891,37.0,blue-collar,married,high.school,no,no,no,telephone,jun,thu,280.0,1,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
19013,52.0,technician,divorced,university.degree,no,no,no,cellular,aug,tue,122.0,1,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
27469,39.0,admin.,single,unknown,no,no,no,cellular,nov,fri,504.0,2,999.0,1.0,failure,-0.1,93.2,-42.0,4.021,5195.8,yes
9572,26.0,student,single,high.school,no,no,no,telephone,jun,mon,901.0,1,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
39607,52.0,admin.,married,university.degree,no,no,no,cellular,may,thu,613.0,1,3.0,2.0,success,-1.8,93.876,-40.0,0.677,5008.7,yes
36852,53.0,housemaid,married,basic.4y,no,yes,no,cellular,jun,tue,245.0,2,999.0,0.0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,yes
3853,41.0,self-employed,married,high.school,unknown,no,no,telephone,may,fri,165.0,4,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
9072,53.0,technician,married,professional.course,unknown,yes,no,telephone,jun,thu,939.0,6,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
30319,33.0,blue-collar,single,basic.4y,no,no,no,cellular,apr,thu,452.0,1,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
5761,35.0,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,131.0,1,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
19857,30.0,admin.,single,university.degree,no,no,no,cellular,aug,fri,235.0,1,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
32647,41.0,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,mon,12.0,8,999.0,1.0,failure,-1.8,92.893,-46.2,1.2990000000000002,5099.1,no
14656,27.0,services,single,high.school,no,no,no,cellular,jul,tue,232.0,4,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
31982,24.0,services,single,high.school,unknown,yes,no,cellular,may,thu,263.0,2,10.0,1.0,success,-1.8,92.893,-46.2,1.327,5099.1,no
38751,72.0,retired,divorced,basic.6y,no,yes,no,cellular,nov,wed,244.0,2,999.0,0.0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes
11552,36.0,blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,560.0,3,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
19439,43.0,admin.,single,university.degree,no,no,yes,cellular,aug,wed,1471.0,7,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,yes
16635,21.0,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,2078.0,6,999.0,0.0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
32265,38.0,management,married,university.degree,no,yes,no,cellular,may,fri,1276.0,1,999.0,0.0,nonexistent,-1.8,92.893,-46.2,1.3130000000000002,5099.1,yes
